Description;Segment;Ending;Pos X;Pos Y ;Pos Z;NCP Rot;Camera Rot;TalkAnimation;Norwegian Text;English Text;German Text
First Dialogue: Part 1;1;;3;6;7;Forward;Left;3;Ah! Et ferskt fjes! Fantastisk! Jeg er Stepellier, verdensvandrer og vismann. Jeg husker hvor overveldende det var å være ny. Men ingen slik følelse vi ta deg! For jeg vil gjerne være en mentor gjennom din reise.;Ah! A fresh face! Fantastic! I am Stepellier, wanderer of the world and man of wisdom. I remember how overwhelming it was to be new. But no such feeling will touch you! For I would love to be a mentor through your journey.;1
First Dialogue: Part 2;;;;;;;;4;Du kan bevege deg ved å trykke <color=#B593D5>W A S D</color>. Men tenk nøye gjennom hver bevegelse! For du har bare 7 steg å benytte. Men frykt ikke! Om du går tom for steg, vil du bare havne tilbake ved ditt forrige besøkte sjekkpunkt.;You can move by pressing <color=#B593D5>W A S D</color>. But think carefully through every move! For you only have 7 steps at your disposal. But fear not! If you run out of steps, you will simply end up back at your previously visited checkpoint.;2
First Dialogue: Part 3;;x;;;;;;4;Hva er et sjekkpunkt, spør du? Du står på det! Disse rosa røykskyene er ankre som binder oss til verdens livsessens. Hvis du har vandret langt, har satt deg fast eller bare ønsker å returnere, kan du holde <color=#B593D5>R</color>. Da vil du transporteres tilbake med en artig kilende sensasjon!;What is a checkpoint, you ask? You're standing on it! These pink puffs of smoke are anchors that bind us to the essence of life in the world. If you have wandered far, gotten stuck, or simply want to return, you can hold <color=#B593D5>R</color>. Then you will be transported back with a lovely tickling sensation!;3
Corner: Part 1;2;;-3;7;5;Forward;Back;4;Jeg ser du har funnet et hjørne! Hva kan du gjøre? Er det ingen måte å se den andre siden? Er dette slutten på din reise? Frykt ikke! Bare trykk <color=#B593D5>Q</color> eller <color=#B593D5>E</color>!;I see you have found a corner! What can you do? Is there no way to see the other side? Is this the end of your journey? Fear not! Simply press <color=#B593D5>Q</color> or <color=#B593D5>E</color>!;4
Corner: Part 2;;x;;;;;;;Og hvis du vil se enda mer av verden og oppdage dens hemmeligheter, kan du trykke <color=#B593D5>TAB</color> for å gå inn og ut av fri kamera modus.;And if you want to see more of the world and discover its secrets, you can press <color=#B593D5>TAB</color> to go in and out of free camera mode.;5
Skin: Part 1;3;;5;7;5;Forward;Back;9;Se der borte! Ser du den nydelige skinnende, stein-blokken? Det er et skinn! Når du plukker den opp, vil den bli synlig i garderobe-menyen. Den vil ikke gi deg noe annet enn en følelse av identitet, men er ikke det reisemålet på stien vi alle går?;Look over there! Do you see that beautiful, shiny block of quartz? That is a skin! When you pick it up, it will become visible in the wardrobe menu. It will not give you anything except for a sense of identity, but isn't that the destination of the path we all walk?;6
Skin: Part 2;;x;;;;;;4;Men akk! Du kan ikke ta den i bruk før du har låst den opp med 10 essenskuber! Den lille skinnende hvite kuben ved siden av skinnet er en essenskube. Du vil se mange av dem i verden, men noen ganger vil de være mørke og røde. Det betyr at du trenger flere steg eller ferdigheter for å kunne nå dem.;But alas! You cannot equip it until you have unlocked it with 10 essence cubes! That little shiny white cube next to the skin is an essence cube. You will see many of them in the world, but sometimes they will be dark and red. That means you need more steps or abilities to be able to reach them.;7
Glueplant: Part 1;4;;0;15;5;Forward;Right;9;Og så har vi nådd hjertet av dette området: limplanten! Denne planten tiltrekker seg og oppbevarer store mengder av livsessensen som flyter gjennom verden. Det er 5 av dem i hver region, og jeg trenger din hjelp for å samle alle sammen.;And so we have reached the heart of this area: the glueplant! This plant attracts and stores great amounts of the life essence that flows through the world. There are 5 of them in each region, and I need your help to collect them all.;8
Glueplant: Part 2;;;;;;;;8;Når du samler alle limplantene i en region, vil jeg hjelpe deg å låse opp regionens ferdighet for alltid. Jeg vil også vise deg veien til Metalworks, hvor du vil møte min assistent Larry. Vi trenger at limplantene plasseres der for å fullføre vårt oppdrag.;When you collect all the glueplants of a region, I will help you unlock that regions ability forever. I will also show you a path to the Metalworks, where you will meet my assistant Larry. We need all the glueplants to be placed there to finish our mission.';9
Glueplant: Part 3;;x;;;;;;9;Og til slutt vil vi begge bli belønnet med en belønning større enn noen belønning som noen gang har blitt belønnet! Noen gang! Men nå er det tid for din reise å begynne! Gå og plukk opp limplanten.;And in the end, we will both be rewarded with a reward greater than any reward that has ever been rewarded! Ever! But now it is time for your journey to begin! Go on, pick up the glueplant.;10
